run,key,epsilon,lamb_dfl,c_dfl,lamb_lr,w_dfl,w_lr,trainloss_dfl,trainacc_dfl,traindq_dfl,testloss_dfl,testacc_dfl,testdq_dfl,trainloss_lr,trainacc_lr,traindq_lr,testloss_lr,testacc_lr,testdq_lr
21,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,0.5,10.0,219.4225263636571,0.081425871688077,3.6531959972510495,0.644,0.146,3.487358450258438,0.656,0.149,0.692615507281407,0.614,0.116,0.6925667399800481,0.599,0.092
22,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,5.0,10.0,23.131999145895684,0.1171237559908782,0.7659147217294813,0.64,0.142,0.7458941101739933,0.633,0.126,0.6917609950953474,0.656,0.158,0.6919011581011733,0.63,0.123
23,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,0.5,10.0,244.1793134577142,0.1044825673745734,4.6551780633211965,0.538,0.04,4.423034102697733,0.534,0.027,0.6942056774297205,0.382,-0.116,0.6941494225834164,0.387,-0.12
24,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,0.5,10.0,294.076219096232,0.0952177978902821,6.341486494935866,0.58,0.082,6.6554508012961255,0.561,0.054,0.6927065657356922,0.561,0.063,0.6928083776232821,0.569,0.062
25,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,0.1,10.0,1059.619322497447,0.1092207836945024,15.995904521977172,0.586,0.088,17.136382611546235,0.584,0.077,0.6927248296089688,0.499,0.001,0.6928191582226197,0.492,-0.015
26,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,1.0,10.0,131.92787917086443,0.1063116334125832,2.5859476249048803,0.672,0.174,2.462888334441711,0.665,0.158,0.6929195359805259,0.505,0.007,0.693075768674564,0.493,-0.014
27,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,10.0,10.0,12.41700501401921,0.0896375045208963,0.7134759081557748,0.596,0.098,0.7253007454456406,0.567,0.06,0.6926088263412937,0.58,0.082,0.6928226551520088,0.554,0.047
28,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,0.1,10.0,1329.9388942007956,0.1111914740748196,24.74234196664896,0.584,0.086,23.06389577247432,0.59,0.083,0.6919809673935821,0.506,0.008,0.6924699929139163,0.499,-0.008
29,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,2.0,10.0,59.48856144770021,0.0957002518041785,1.9468889511767848,0.606,0.108,2.074772228147671,0.599,0.092,0.6933123782894692,0.489,-0.009,0.6930423161372853,0.517,0.01
30,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,1.0,10.0,139.62269590935668,0.1119007997714583,3.0295754620098294,0.655,0.157,3.0946480062329527,0.644,0.137,0.693212830095924,0.507,0.009,0.6935699071516762,0.496,-0.011
