run,key,epsilon,lamb_dfl,c_dfl,lamb_lr,w_dfl,w_lr,trainloss_dfl,trainacc_dfl,traindq_dfl,testloss_dfl,testacc_dfl,testdq_dfl,trainloss_lr,trainacc_lr,traindq_lr,testloss_lr,testacc_lr,testdq_lr
21,eps1.0_lambdfl1.0_lamblr10.0,1.0,1.0,0.5,10.0,23.026124115538856,0.0207405634233946,0.7636885765044321,0.575,0.077,0.7394338328820358,0.574,0.067,0.6927079694970808,0.696,0.198,0.6927653712154017,0.691,0.184
22,eps1.0_lambdfl1.0_lamblr10.0,1.0,1.0,0.1,10.0,130.47412487143316,0.0219364730307437,1.719009654193261,0.66,0.162,1.688359024750827,0.694,0.187,0.6925879153123021,0.714,0.216,0.6926402800807107,0.693,0.186
23,eps1.0_lambdfl1.0_lamblr10.0,1.0,1.0,1.0,10.0,13.168186537878643,0.0244644981520919,0.8770341996769274,0.499,0.001,0.8595763439311427,0.524,0.017,0.6924747845880095,0.761,0.263,0.6925432777935698,0.731,0.224
24,eps1.0_lambdfl1.0_lamblr10.0,1.0,1.0,0.5,10.0,25.05136374017042,0.0172619199455631,1.0243439362434736,0.538,0.04,1.0135377480191232,0.545,0.038,0.6926235449447864,0.747,0.249,0.6926767969678228,0.73,0.223
25,eps1.0_lambdfl1.0_lamblr10.0,1.0,1.0,0.01,10.0,1300.0364677659816,0.0176011363892682,31.279524680313152,0.512,0.014,31.64156329539177,0.518,0.011,0.69278079129563,0.522,0.024,0.6928549260791134,0.516,0.009
26,eps1.0_lambdfl1.0_lamblr10.0,1.0,1.0,0.5,10.0,24.83922824082324,0.024322903928544,0.8928779156735984,0.589,0.091,0.908316530032506,0.574,0.067,0.6924523789822276,0.524,0.026,0.6925407967649118,0.525,0.018
27,eps1.0_lambdfl1.0_lamblr10.0,1.0,1.0,0.01,10.0,1136.275365245892,0.0252535741659923,30.36289568441399,0.595,0.097,28.760388026256933,0.605,0.098,0.692340267470076,0.777,0.279,0.692445032736829,0.739,0.232
28,eps1.0_lambdfl1.0_lamblr10.0,1.0,1.0,0.01,10.0,1283.0730767873852,0.0206642543141043,50.40574027324867,0.531,0.033,50.678182956857725,0.502,-0.005,0.692753581269858,0.643,0.145,0.6927647140304318,0.645,0.138
29,eps1.0_lambdfl1.0_lamblr10.0,1.0,1.0,0.1,10.0,140.1402181147876,0.0224660681883882,3.2932688596804343,0.58,0.082,3.698848751958884,0.565,0.058,0.6925128127595287,0.544,0.046,0.6926208944265582,0.542,0.035
30,eps1.0_lambdfl1.0_lamblr10.0,1.0,1.0,0.5,10.0,20.168695018951286,0.0190903821833971,0.6831734343307199,0.61,0.112,0.6775502179409687,0.621,0.114,0.6925663840292289,0.62,0.122,0.6926505146642291,0.576,0.069
