0.1,0.1,0.1
0.1,0.1,0.5
0.1,0.1,1.0
0.1,0.1,5.0
0.1,0.1,10.0
0.1,0.5,0.1
0.1,0.5,0.5
0.1,0.5,1.0
0.1,0.5,5.0
0.1,0.5,10.0
0.1,1.0,0.1
0.1,1.0,0.5
0.1,1.0,1.0
0.1,1.0,5.0
0.1,1.0,10.0
0.1,5.0,0.1
0.1,5.0,0.5
0.1,5.0,1.0
0.1,5.0,5.0
0.1,5.0,10.0
0.1,10.0,0.1
0.1,10.0,0.5
0.1,10.0,1.0
0.1,10.0,5.0
0.1,10.0,10.0
0.2,0.1,0.1
0.2,0.1,0.5
0.2,0.1,1.0
0.2,0.1,5.0
0.2,0.1,10.0
0.2,0.5,0.1
0.2,0.5,0.5
0.2,0.5,1.0
0.2,0.5,5.0
0.2,0.5,10.0
0.2,1.0,0.1
0.2,1.0,0.5
0.2,1.0,1.0
0.2,1.0,5.0
0.2,1.0,10.0
0.2,5.0,0.1
0.2,5.0,0.5
0.2,5.0,1.0
0.2,5.0,5.0
0.2,5.0,10.0
0.2,10.0,0.1
0.2,10.0,0.5
0.2,10.0,1.0
0.2,10.0,5.0
0.2,10.0,10.0
0.3,0.1,0.1
0.3,0.1,0.5
0.3,0.1,1.0
0.3,0.1,5.0
0.3,0.1,10.0
0.3,0.5,0.1
0.3,0.5,0.5
0.3,0.5,1.0
0.3,0.5,5.0
0.3,0.5,10.0
0.3,1.0,0.1
0.3,1.0,0.5
0.3,1.0,1.0
0.3,1.0,5.0
0.3,1.0,10.0
0.3,5.0,0.1
0.3,5.0,0.5
0.3,5.0,1.0
0.3,5.0,5.0
0.3,5.0,10.0
0.3,10.0,0.1
0.3,10.0,0.5
0.3,10.0,1.0
0.3,10.0,5.0
0.3,10.0,10.0
0.4,0.1,0.1
0.4,0.1,0.5
0.4,0.1,1.0
0.4,0.1,5.0
0.4,0.1,10.0
0.4,0.5,0.1
0.4,0.5,0.5
0.4,0.5,1.0
0.4,0.5,5.0
0.4,0.5,10.0
0.4,1.0,0.1
0.4,1.0,0.5
0.4,1.0,1.0
0.4,1.0,5.0
0.4,1.0,10.0
0.4,5.0,0.1
0.4,5.0,0.5
0.4,5.0,1.0
0.4,5.0,5.0
0.4,5.0,10.0
0.4,10.0,0.1
0.4,10.0,0.5
0.4,10.0,1.0
0.4,10.0,5.0
0.4,10.0,10.0
0.5,0.1,0.1
0.5,0.1,0.5
0.5,0.1,1.0
0.5,0.1,5.0
0.5,0.1,10.0
0.5,0.5,0.1
0.5,0.5,0.5
0.5,0.5,1.0
0.5,0.5,5.0
0.5,0.5,10.0
0.5,1.0,0.1
0.5,1.0,0.5
0.5,1.0,1.0
0.5,1.0,5.0
0.5,1.0,10.0
0.5,5.0,0.1
0.5,5.0,0.5
0.5,5.0,1.0
0.5,5.0,5.0
0.5,5.0,10.0
0.5,10.0,0.1
0.5,10.0,0.5
0.5,10.0,1.0
0.5,10.0,5.0
